STATEFP20,GEOID20,CD118FP,NAMELSAD20,LSAD20,CDSESSN,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,layer,h_rep_name,h_district,h_state,h_party,h_office,h_phone,h_all_comm,h_appropri,h_agricult,h_oversigh,h_armed_se,h_natural_,h_foreign_,h_homeland,h_educatio,h_energy_a,h_ways_and,h_financia,h_transpor,h_small_bu,h_judiciar,h_budget,h_select_s,h_joint_co,h_house_ad,h_Intellig,h_select_1,h_science_,h_veterans,h_select_2,h_ethics,h_Rules,h_joint_li,OBJECTID,Agency,unit_name,link,SHAPE_Leng,SHAPE_Area
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50872",Department of Defense,NOLF Summerdale,https://www.navy.mil/,0.006300615893612,0.000002093557739
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50873",Department of Defense,NOLF Summerdale,https://www.navy.mil/,0.010498362701244,0.000005243721034
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50874",Department of Defense,NOLF Summerdale,https://www.navy.mil/,0.000492075589739,0.000000005840496
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50875",Department of Defense,NOLF Summerdale,https://www.navy.mil/,0.009815606737877,0.000002998754071
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50876",Department of Defense,NOLF Summerdale,https://www.navy.mil/,0.002781381177693,0.000000221314318
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50877",Department of Defense,NOLF Summerdale,https://www.navy.mil/,0.003983101749525,0.000000894629427
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50878",Department of Defense,NOLF Summerdale,https://www.navy.mil/,0.013322800695402,0.000008450643441
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50879",Department of Defense,NOLF Summerdale,https://www.navy.mil/,0.012737865178317,0.000003816100461
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50880",Department of Defense,NOLF Summerdale,https://www.navy.mil/,0.091219199702547,0.000242836162369
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50881",Department of Defense,NOLF Summerdale,https://www.navy.mil/,0.016059697425269,0.000012099360894
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50892",Department of Defense,NOLF Wolf,https://www.navy.mil/,0.086934484587376,0.000159834615803
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50948",Department of Defense,NOLF Silverhill,https://www.navy.mil/,0.073381820835125,0.000147307299805
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50949",Department of Defense,NOLF Silverhill,https://www.navy.mil/,0.017497706507564,0.000006124673899
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50980",Department of Defense,NOLF Brewton,https://www.navy.mil/,0.083178744336704,0.000255007890553
"01","0101","01",Congressional District 1,C2,"118",G5200,N,"14843688153","2267935444","+30.9818561","-087.8174031",tl_rd22_01_cd118,Jerry Carl,Alabama 1st,Alabama,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50990",Department of Defense,Barin Field,https://www.navy.mil/,0.018658100518167,0.000010101082204
